sex,age,race,c_charge_degree,c_charge_desc,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_recid,r_charge_degree,r_charge_desc,is_violent_recid,vr_charge_degree,vr_charge_desc,two_year_recid,dob_year,event_date_day,event_date_month,event_date_year
Female,22,Caucasian,F,other,0,0,0,0,1,F3,drugs,0,NA,NA,1,1994,5,2,2013
Female,36,Hispanic,M,violence,0,0,0,1,0,NA,NA,0,NA,NA,0,1980,1,1,2014
Male,39,African-American,F,robbery,0,0,0,4,0,NA,NA,0,NA,NA,0,1976,9,8,2013
Male,32,Caucasian,M,violence,0,0,0,2,1,MO3,other,0,NA,NA,1,1983,7,5,2013
Male,30,African-American,F,drugs,0,0,0,0,0,NA,NA,0,NA,NA,0,1985,23,10,2013
Male,54,Caucasian,F,other,0,0,0,2,0,NA,NA,0,NA,NA,0,1961,15,9,2013
Male,37,Hispanic,F,other,0,0,0,1,1,M2,robbery,0,NA,NA,1,1978,22,5,2013
Male,21,African-American,F,robbery,0,0,0,0,1,M2,traffic,1,M1,violence,1,1994,14,2,2013
Male,30,African-American,F,violence,1,0,0,5,1,M1,violence,1,M1,violence,1,1985,1,5,2013
Male,27,African-American,M,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1988,8,9,2013
Male,23,Other,F,other,0,2,0,7,1,M1,violence,1,F2,violence,1,1992,6,4,2013
Male,27,Caucasian,F,drugs,0,0,0,4,1,M2,traffic,0,NA,NA,1,1988,10,5,2013
Male,20,African-American,F,other,1,0,0,1,1,M1,violence,1,F3,violence,1,1995,29,12,2011
Male,69,Caucasian,M,traffic,0,0,0,6,1,F1,drugs,0,NA,NA,1,1946,16,11,2012
Male,23,African-American,F,robbery,0,0,0,2,0,NA,NA,0,NA,NA,0,1992,8,5,2013
Male,55,African-American,F,drugs,0,0,0,17,1,F3,drugs,0,NA,NA,1,1961,26,4,2013
Female,45,African-American,F,other,0,0,0,2,0,NA,NA,0,NA,NA,0,1970,2,5,2013
Male,51,Caucasian,F,drugs,0,0,0,6,1,F3,drugs,0,NA,NA,1,1964,31,10,2014
Male,36,African-American,M,traffic,0,0,0,1,0,NA,NA,0,NA,NA,0,1979,19,8,2013
Male,23,African-American,F,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1993,14,3,2014
Male,22,African-American,F,robbery,0,0,0,0,1,M1,violence,1,M1,violence,1,1993,11,4,2013
Male,54,African-American,F,other,0,0,0,4,0,NA,NA,0,NA,NA,0,1961,5,5,2013
Male,24,Hispanic,F,drugs,1,0,0,6,1,M1,drugs,0,NA,NA,1,1991,29,1,2013
Male,53,Other,M,traffic,0,0,0,0,0,NA,NA,0,NA,NA,0,1962,3,9,2013
Male,45,African-American,M,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1970,5,7,2013
Male,55,Hispanic,M,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1960,26,3,2014
Male,53,African-American,F,drugs,0,0,0,13,0,NA,NA,0,NA,NA,0,1962,3,4,2013
Male,43,Caucasian,F,robbery,0,0,0,8,1,F3,drugs,0,NA,NA,1,1973,4,7,2013
Male,32,Hispanic,F,violence,0,0,0,1,0,NA,NA,0,NA,NA,0,1983,3,10,2013
Male,29,African-American,F,robbery,0,0,0,0,0,NA,NA,0,NA,NA,0,1987,24,4,2013
Female,28,Caucasian,F,other,0,0,0,7,0,NA,NA,0,NA,NA,0,1987,21,6,2012
Male,21,African-American,F,violence,0,0,0,1,1,M2,traffic,0,NA,NA,1,1994,15,4,2014
Male,54,Other,M,violence,0,0,0,2,0,NA,NA,0,NA,NA,0,1961,21,10,2013
Male,44,Hispanic,F,violence,0,0,0,8,1,M2,traffic,0,NA,NA,1,1972,1,6,2014
Male,32,African-American,F,traffic,2,0,0,15,1,F3,robbery,0,NA,NA,1,1983,26,5,2013
Male,25,Other,F,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1990,19,12,2013
Male,21,African-American,F,robbery,0,0,0,0,0,NA,NA,0,NA,NA,0,1995,13,5,2013
Male,24,Other,F,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1991,21,3,2014
Male,37,African-American,F,robbery,0,0,0,1,0,NA,NA,0,NA,NA,0,1978,1,4,2013
Male,49,Caucasian,F,drugs,0,0,0,0,0,NA,NA,0,NA,NA,0,1966,16,11,2013
Male,30,Caucasian,F,drugs,0,0,0,1,1,M2,robbery,0,NA,NA,1,1985,29,4,2014
Male,28,Caucasian,M,traffic,0,0,0,0,0,NA,NA,0,NA,NA,0,1987,30,3,2013
Male,26,African-American,F,robbery,0,0,0,3,1,F3,violence,1,F3,violence,1,1989,24,6,2014
Male,22,African-American,F,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1993,21,2,2013
Male,41,African-American,F,other,0,0,0,7,0,NA,NA,0,NA,NA,0,1974,4,9,2013
Female,51,African-American,F,other,0,0,0,4,0,NA,NA,0,NA,NA,0,1964,8,8,2013
Male,32,African-American,F,other,0,0,0,3,1,M2,robbery,0,NA,NA,1,1983,30,7,2014
Male,21,African-American,F,robbery,0,0,0,1,1,M2,other,0,NA,NA,1,1994,6,11,2014
Male,34,Caucasian,F,other,0,0,0,1,0,NA,NA,0,NA,NA,0,1981,25,4,2013
Male,27,African-American,F,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1988,12,12,2013
Male,31,Caucasian,F,violence,0,0,0,1,0,NA,NA,0,NA,NA,0,1984,31,8,2013
Male,42,Caucasian,F,drugs,0,0,0,0,0,NA,NA,0,NA,NA,0,1973,9,12,2013
Male,36,Caucasian,F,drugs,0,0,0,5,1,M1,other,0,NA,NA,1,1979,21,3,2013
Male,23,Hispanic,M,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1992,22,8,2013
Male,33,African-American,M,other,0,0,0,21,1,M2,traffic,0,NA,NA,1,1982,9,5,2014
Female,23,Caucasian,M,violence,0,0,0,4,1,M1,other,0,NA,NA,1,1992,8,11,2013
Male,26,African-American,M,violence,0,1,1,9,1,M1,violence,0,NA,NA,1,1989,4,1,2013
Male,30,African-American,F,drugs,1,0,2,8,1,M1,violence,0,NA,NA,1,1986,11,12,2014
Male,35,African-American,F,violence,0,0,0,29,0,NA,NA,0,NA,NA,0,1981,18,6,2013
Male,24,African-American,F,violence,0,0,0,7,1,F3,drugs,0,NA,NA,1,1991,18,5,2014
Male,27,African-American,F,other,0,0,0,1,0,NA,NA,0,NA,NA,0,1988,19,1,2013
Male,39,African-American,M,violence,0,0,0,2,1,M1,other,0,NA,NA,1,1977,13,4,2013
Male,31,Other,M,violence,0,0,0,6,1,M2,traffic,0,NA,NA,1,1984,30,10,2013
Female,36,Caucasian,F,other,0,0,0,3,1,F3,drugs,0,NA,NA,1,1979,24,2,2014
Male,28,African-American,M,other,0,0,1,5,0,NA,NA,0,NA,NA,0,1987,23,1,2013
Male,22,African-American,F,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1993,4,2,2014
Male,39,Caucasian,M,violence,0,0,0,2,0,NA,NA,0,NA,NA,0,1976,26,9,2013
Male,39,Caucasian,F,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1976,12,5,2013
Female,49,Caucasian,F,drugs,0,0,0,2,0,NA,NA,0,NA,NA,0,1967,1,10,2013
Male,20,African-American,F,drugs,0,0,2,0,1,M2,other,0,NA,NA,1,1995,6,9,2014
Male,50,Caucasian,F,other,0,0,0,1,0,NA,NA,0,NA,NA,0,1966,26,12,2013
Male,29,African-American,F,drugs,0,0,0,11,1,M1,other,0,NA,NA,1,1986,2,7,2013
Male,55,African-American,F,other,0,0,0,0,1,F3,drugs,0,NA,NA,1,1960,14,2,2014
Male,21,Native American,M,violence,0,0,1,0,1,M2,traffic,0,NA,NA,1,1994,4,9,2013
Male,25,African-American,F,robbery,0,0,0,2,0,NA,NA,0,NA,NA,0,1990,16,2,2013
Male,40,Caucasian,F,other,0,0,0,4,1,M1,violence,1,M1,violence,1,1975,11,11,2013
Male,25,African-American,F,violence,0,0,0,1,0,NA,NA,0,NA,NA,0,1990,22,8,2013
Male,54,Caucasian,F,violence,0,0,0,6,0,NA,NA,0,NA,NA,0,1961,15,3,2013
Male,63,African-American,F,robbery,0,0,0,9,1,F3,robbery,0,NA,NA,1,1952,3,3,2014
Male,57,Caucasian,F,other,0,0,0,15,0,NA,NA,0,NA,NA,0,1958,23,8,2013
Male,23,African-American,M,other,0,0,1,2,1,M2,other,0,NA,NA,1,1992,6,9,2013
Male,39,Caucasian,F,other,0,0,0,2,0,NA,NA,0,NA,NA,0,1976,14,3,2013
Male,32,Caucasian,F,other,0,0,0,5,1,F2,violence,1,F2,violence,1,1983,21,2,2013
Male,23,Caucasian,M,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1993,10,3,2014
Male,21,Hispanic,F,robbery,0,0,0,0,0,NA,NA,0,NA,NA,0,1995,23,4,2013
Female,28,Other,F,other,0,0,1,1,0,NA,NA,0,NA,NA,0,1987,14,5,2013
Male,20,Hispanic,F,other,0,0,0,3,1,F3,other,0,NA,NA,1,1996,11,12,2014
Male,58,Caucasian,F,violence,0,0,0,1,1,M1,violence,1,M1,violence,1,1957,31,12,2013
Male,31,Caucasian,F,drugs,0,0,0,1,1,F3,drugs,0,NA,NA,1,1985,8,12,2014
Male,42,African-American,F,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1973,17,4,2013
Male,26,African-American,F,drugs,0,0,0,3,1,F3,drugs,0,NA,NA,1,1989,9,9,2014
Male,26,African-American,M,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1989,22,2,2013
Female,20,African-American,F,violence,0,0,0,1,1,M2,traffic,0,NA,NA,1,1995,2,1,2014
Male,37,Caucasian,F,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1979,18,1,2013
Male,65,African-American,M,drugs,0,0,0,7,0,NA,NA,0,NA,NA,0,1950,23,10,2013
Female,29,Caucasian,M,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1987,3,3,2013
Male,27,African-American,F,other,0,0,0,1,0,NA,NA,0,NA,NA,0,1988,17,4,2013
Male,34,African-American,M,violence,0,0,0,8,1,M2,traffic,0,NA,NA,0,1981,22,12,2013
Male,21,Caucasian,F,drugs,0,2,1,3,1,M1,drugs,0,NA,NA,1,1994,19,2,2013
Male,37,African-American,M,traffic,0,0,0,2,0,NA,NA,0,NA,NA,0,1979,4,10,2013
Male,49,Caucasian,M,violence,0,0,0,4,1,M2,other,1,M1,violence,1,1967,23,1,2013
Male,26,African-American,M,other,0,0,0,7,0,NA,NA,0,NA,NA,0,1989,5,7,2013
Male,54,African-American,M,violence,0,0,0,0,1,M1,violence,1,F3,violence,1,1961,4,3,2013
Male,23,Caucasian,F,other,0,0,1,0,1,M1,violence,1,M1,violence,1,1992,2,1,2013
Male,21,Caucasian,F,other,0,0,0,0,1,M1,violence,1,M1,violence,1,1994,25,3,2014
Male,30,Caucasian,M,drugs,0,0,0,0,1,M1,drugs,0,NA,NA,1,1985,24,11,2013
Male,23,African-American,M,violence,0,0,0,0,1,M1,other,0,NA,NA,1,1992,5,1,2014
Male,25,Caucasian,F,other,0,0,0,6,1,F3,other,0,NA,NA,1,1990,20,3,2013
Male,60,African-American,M,other,0,0,0,3,0,NA,NA,0,NA,NA,0,1956,14,12,2013
Male,28,African-American,M,other,0,0,0,6,1,M2,traffic,0,NA,NA,1,1988,22,2,2013
Male,34,Caucasian,F,traffic,0,0,0,11,0,NA,NA,0,NA,NA,0,1981,23,1,2014
Female,47,Hispanic,F,robbery,0,0,0,1,0,NA,NA,0,NA,NA,0,1968,24,4,2013
Male,37,African-American,F,traffic,0,0,0,20,1,M1,violence,0,NA,NA,1,1978,26,4,2013
Male,29,African-American,F,other,0,0,0,9,1,M1,other,1,F3,other,1,1986,21,2,2013
Male,32,Caucasian,F,other,0,0,0,2,0,NA,NA,0,NA,NA,0,1983,16,12,2013
Male,41,Caucasian,M,traffic,0,0,0,3,0,NA,NA,0,NA,NA,0,1975,13,4,2013
Female,34,African-American,F,violence,0,0,0,5,1,F3,drugs,0,NA,NA,1,1981,22,9,2013
Male,26,Caucasian,F,drugs,0,0,0,0,0,NA,NA,0,NA,NA,0,1989,4,4,2013
Male,24,Caucasian,M,violence,0,0,0,1,1,F3,drugs,0,NA,NA,1,1991,15,9,2013
Male,39,Caucasian,M,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1976,12,1,2014
Female,26,African-American,F,violence,0,0,0,3,0,NA,NA,0,NA,NA,0,1989,20,4,2013
Male,45,Hispanic,F,other,0,0,0,1,0,NA,NA,0,NA,NA,0,1970,14,5,2013
Female,51,Caucasian,M,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1964,21,3,2014
Male,31,Caucasian,F,drugs,0,0,0,5,1,F3,drugs,0,NA,NA,1,1985,14,11,2014
Male,41,Caucasian,F,drugs,0,0,0,0,0,NA,NA,0,NA,NA,0,1974,17,2,2013
Male,29,Hispanic,F,violence,0,0,0,1,0,NA,NA,0,NA,NA,0,1986,22,11,2013
Male,34,African-American,F,other,3,1,0,13,1,M2,traffic,0,NA,NA,1,1981,11,7,2014
Male,25,African-American,F,drugs,1,0,0,2,1,M1,NA,0,NA,NA,0,1990,28,5,2013
Male,29,African-American,F,traffic,0,0,0,15,1,M2,traffic,0,NA,NA,1,1986,5,10,2014
Male,44,African-American,F,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1971,23,11,2013
Male,40,African-American,F,violence,0,0,0,3,0,NA,NA,0,NA,NA,0,1975,18,5,2013
Female,41,Other,F,other,0,0,0,2,0,NA,NA,0,NA,NA,0,1974,18,4,2013
Male,35,Other,F,robbery,0,0,0,2,0,NA,NA,0,NA,NA,0,1980,13,10,2013
Female,32,African-American,F,robbery,0,0,0,0,0,NA,NA,0,NA,NA,0,1983,22,1,2014
Male,23,African-American,F,drugs,0,0,0,0,0,NA,NA,0,NA,NA,0,1992,19,4,2013
Male,57,Caucasian,F,violence,0,0,0,1,0,NA,NA,0,NA,NA,0,1958,17,5,2013
Male,29,Caucasian,F,violence,0,0,0,2,0,NA,NA,0,NA,NA,0,1986,18,8,2013
Male,62,African-American,F,robbery,0,0,0,13,1,M2,robbery,0,NA,NA,1,1953,29,10,2014
Male,41,Caucasian,F,drugs,0,0,0,4,1,M1,other,0,NA,NA,1,1974,13,12,2013
Male,51,Caucasian,F,other,0,0,0,3,0,NA,NA,0,NA,NA,0,1964,25,6,2013
Male,20,African-American,F,other,0,0,0,1,1,F3,drugs,1,F3,violence,1,1995,17,11,2013
Male,33,African-American,F,drugs,0,0,0,10,1,M2,traffic,0,NA,NA,1,1982,4,2,2014
Male,21,African-American,F,robbery,0,0,0,0,0,NA,NA,0,NA,NA,0,1994,12,7,2013
Male,45,Hispanic,M,violence,0,0,0,1,0,NA,NA,0,NA,NA,0,1970,28,12,2013
Male,29,African-American,M,other,0,0,0,1,1,M1,violence,1,M1,violence,1,1986,18,12,2010
Female,26,African-American,F,other,0,0,0,5,1,M1,other,0,NA,NA,1,1989,19,3,2014
Male,35,Hispanic,F,other,0,0,0,2,0,NA,NA,0,NA,NA,0,1981,5,12,2013
Male,25,Caucasian,F,other,0,0,0,2,0,NA,NA,0,NA,NA,0,1991,13,8,2013
Male,20,African-American,F,drugs,0,0,0,0,1,M2,other,0,NA,NA,1,1995,9,1,2014
Male,27,African-American,M,drugs,0,0,0,1,0,NA,NA,0,NA,NA,0,1988,18,3,2014
Male,55,Other,F,other,0,0,0,8,1,M2,other,0,NA,NA,1,1960,20,2,2013
Male,22,African-American,F,robbery,0,0,2,0,1,M2,other,0,NA,NA,1,1993,12,3,2014
Male,46,Caucasian,F,other,0,0,0,1,0,NA,NA,0,NA,NA,0,1969,6,6,2013
Female,34,Caucasian,F,drugs,0,0,1,0,1,M2,traffic,0,NA,NA,1,1981,23,2,2013
Male,35,Caucasian,M,traffic,0,0,0,0,1,M2,traffic,0,NA,NA,1,1980,17,11,2013
Male,46,Caucasian,F,other,0,0,0,0,0,NA,NA,0,NA,NA,0,1969,15,3,2014
Male,26,African-American,F,traffic,0,1,0,24,1,F3,traffic,1,F3,violence,1,1989,28,2,2013
Male,32,Hispanic,F,other,0,0,0,3,0,NA,NA,0,NA,NA,0,1983,23,5,2013
Male,39,Caucasian,F,drugs,6,1,0,17,1,M2,traffic,0,NA,NA,1,1976,5,3,2013
Male,43,Hispanic,M,other,0,0,0,2,1,M2,traffic,0,NA,NA,1,1972,3,10,2014
Male,20,African-American,F,other,0,0,2,1,0,NA,NA,0,NA,NA,0,1995,14,10,2013
Male,28,African-American,F,other,0,1,0,10,1,M2,traffic,0,NA,NA,1,1987,17,4,2013
Male,21,Hispanic,F,violence,0,0,0,1,1,M2,traffic,0,NA,NA,1,1994,26,6,2014
Male,37,Caucasian,F,drugs,0,0,0,1,1,F3,drugs,0,NA,NA,1,1978,22,8,2014
Male,24,Caucasian,M,violence,0,0,3,3,1,M1,violence,1,M1,violence,1,1992,22,12,2013
Male,35,Caucasian,F,other,0,0,0,4,0,NA,NA,0,NA,NA,0,1981,7,8,2013
Male,35,Caucasian,F,drugs,0,0,0,0,1,F2,other,0,NA,NA,1,1980,9,6,2014
Female,55,Caucasian,M,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1960,23,1,2014
Male,45,African-American,F,traffic,0,0,0,15,1,M2,traffic,0,NA,NA,1,1970,12,8,2013
Male,39,Caucasian,M,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1976,9,10,2013
Male,31,Caucasian,M,violence,0,0,0,3,0,NA,NA,0,NA,NA,0,1984,4,11,2013
Male,33,Hispanic,M,traffic,0,0,0,3,0,NA,NA,0,NA,NA,0,1982,20,7,2010
Male,28,Caucasian,M,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1987,14,3,2014
Male,47,Caucasian,F,other,0,0,0,1,0,NA,NA,0,NA,NA,0,1969,17,9,2013
Male,24,African-American,F,other,0,0,0,2,0,NA,NA,0,NA,NA,0,1991,20,5,2013
Male,23,African-American,F,robbery,0,1,1,8,1,F3,robbery,0,NA,NA,1,1992,27,4,2013
Male,27,African-American,M,violence,0,0,0,0,1,M2,robbery,0,NA,NA,1,1988,4,11,2014
Male,45,Caucasian,M,other,0,0,0,1,0,NA,NA,0,NA,NA,0,1971,8,2,2014
Male,48,Hispanic,M,violence,0,0,0,1,0,NA,NA,0,NA,NA,0,1967,16,2,2013
Male,43,Caucasian,F,robbery,0,0,0,0,1,M2,other,0,NA,NA,1,1973,13,5,2013
Male,31,African-American,M,violence,0,0,0,1,0,NA,NA,0,NA,NA,0,1985,11,5,2013
Male,27,African-American,F,traffic,0,0,0,12,1,M1,violence,0,NA,NA,1,1988,15,4,2013
Male,54,African-American,F,drugs,0,0,0,21,0,NA,NA,0,NA,NA,0,1961,27,3,2013
Male,35,African-American,F,drugs,0,0,0,13,1,F3,drugs,0,NA,NA,1,1980,8,9,2013
Male,32,African-American,F,robbery,0,0,0,0,0,NA,NA,0,NA,NA,0,1984,27,1,2013
Male,24,African-American,F,other,0,0,0,0,1,M2,other,0,NA,NA,1,1992,7,8,2013
Male,39,African-American,F,drugs,0,0,0,2,1,M2,other,0,NA,NA,0,1976,16,2,2013
Male,28,Hispanic,M,other,0,0,0,3,0,NA,NA,0,NA,NA,0,1987,15,2,2013
Male,80,Caucasian,M,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1935,17,3,2013
Male,55,Caucasian,F,other,0,0,0,18,1,F3,robbery,0,NA,NA,1,1961,29,6,2013
Male,31,Hispanic,F,other,0,0,0,3,0,NA,NA,0,NA,NA,0,1984,13,10,2013
Male,37,Caucasian,M,traffic,0,0,0,2,0,NA,NA,0,NA,NA,0,1978,4,8,2013
Male,32,African-American,F,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1983,13,8,2013
Male,61,African-American,M,other,0,0,0,4,1,M2,traffic,0,NA,NA,1,1955,27,2,2010
Male,29,Caucasian,F,drugs,0,0,0,1,1,M1,traffic,0,NA,NA,1,1986,10,5,2013
Female,46,African-American,F,other,0,0,0,4,0,NA,NA,0,NA,NA,0,1969,7,1,2014
Male,26,African-American,M,drugs,0,1,0,4,0,NA,NA,0,NA,NA,0,1989,2,6,2009
Male,53,Caucasian,M,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1963,14,4,2013
Male,23,Caucasian,F,other,0,0,0,0,1,F3,drugs,0,NA,NA,1,1993,22,5,2014
Male,24,Hispanic,F,violence,0,0,0,2,0,NA,NA,0,NA,NA,0,1991,28,2,2013
Male,26,Caucasian,M,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1989,9,12,2013
Male,42,Caucasian,F,drugs,0,0,0,3,0,NA,NA,0,NA,NA,0,1973,27,1,2013
Male,26,African-American,M,traffic,0,0,0,6,1,M1,violence,0,NA,NA,1,1989,4,11,2013
Male,26,African-American,M,violence,0,0,1,7,1,F3,drugs,0,NA,NA,1,1989,29,7,2014
Female,36,African-American,F,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1979,5,5,2013
Male,26,African-American,F,violence,0,0,0,5,0,NA,NA,0,NA,NA,0,1989,26,3,2013
Male,24,Caucasian,F,drugs,0,0,0,1,0,NA,NA,0,NA,NA,0,1992,27,9,2013
Male,36,African-American,F,drugs,1,2,0,14,1,F3,drugs,0,NA,NA,1,1979,1,5,2013
Male,27,African-American,M,violence,0,0,0,3,1,F3,drugs,0,NA,NA,1,1988,26,12,2013
Male,36,Caucasian,F,robbery,0,0,0,1,0,NA,NA,0,NA,NA,0,1979,18,3,2014
Male,27,Caucasian,M,traffic,0,0,0,0,1,M2,traffic,0,NA,NA,1,1988,6,1,2014
Male,21,African-American,F,robbery,0,2,2,2,1,F3,traffic,0,NA,NA,1,1995,12,9,2013
Female,51,Caucasian,F,drugs,0,0,0,1,0,NA,NA,0,NA,NA,0,1964,20,11,2013
Male,27,African-American,F,other,0,0,0,6,1,M1,other,0,NA,NA,1,1988,15,10,2013
Male,25,African-American,F,other,0,0,0,5,1,F3,robbery,0,NA,NA,1,1991,15,2,2013
Male,33,African-American,M,violence,0,0,2,9,1,M2,robbery,1,M1,violence,1,1982,27,10,2014
Male,22,Caucasian,M,violence,0,0,0,1,0,NA,NA,0,NA,NA,0,1993,4,9,2013
Female,32,Caucasian,F,robbery,0,0,0,0,0,NA,NA,0,NA,NA,0,1983,26,1,2013
Male,26,Caucasian,M,robbery,0,0,1,3,1,M2,robbery,0,NA,NA,0,1989,11,4,2013
Male,52,Caucasian,F,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1964,15,5,2013
Male,29,African-American,F,other,0,0,0,2,0,NA,NA,0,NA,NA,0,1987,6,1,2013
Female,23,African-American,F,violence,0,0,0,0,1,MO3,other,0,NA,NA,1,1993,2,4,2013
Female,43,African-American,F,drugs,0,0,0,2,0,NA,NA,0,NA,NA,0,1972,16,5,2013
Male,22,Caucasian,M,violence,0,1,1,3,1,F3,other,0,NA,NA,1,1994,4,5,2014
Female,22,African-American,M,violence,0,0,5,0,1,M2,traffic,0,NA,NA,1,1993,6,8,2014
Male,26,African-American,F,other,0,0,0,8,1,M2,robbery,0,NA,NA,1,1989,20,3,2013
Male,29,African-American,F,drugs,0,0,0,3,1,M2,traffic,0,NA,NA,1,1987,30,10,2014
Male,51,African-American,M,traffic,0,0,0,4,1,M2,other,0,NA,NA,0,1964,5,9,2013
Male,37,African-American,F,other,0,0,0,4,0,NA,NA,0,NA,NA,0,1978,27,8,2013
Male,39,African-American,F,robbery,0,0,0,3,1,M2,traffic,0,NA,NA,1,1976,29,10,2013
Male,35,Caucasian,M,violence,0,0,0,2,1,M2,other,0,NA,NA,0,1981,7,1,2013
Female,33,Caucasian,F,other,0,0,0,1,0,NA,NA,0,NA,NA,0,1982,12,9,2013
Male,34,African-American,F,drugs,0,0,0,2,0,NA,NA,0,NA,NA,0,1982,13,10,2013
Male,31,African-American,F,drugs,0,0,0,9,1,M1,other,0,NA,NA,1,1984,21,11,2014
Male,55,African-American,M,violence,0,0,0,0,1,M2,robbery,1,F3,violence,1,1960,22,2,2013
Male,31,Hispanic,M,drugs,0,1,0,1,0,NA,NA,0,NA,NA,0,1984,17,4,2013
Male,42,Caucasian,F,violence,0,0,0,0,0,NA,NA,0,NA,NA,0,1973,10,7,2013
Female,24,Caucasian,M,violence,0,0,0,0,1,M2,other,0,NA,NA,1,1991,24,12,2014
Male,23,African-American,F,other,0,0,1,5,1,M1,violence,1,M1,violence,1,1993,1,3,2014
